id_trecho,br,br_pad,uf,trecho_desc,localidade,km_ini,km_fim,ext_km,situacao,classe,sentido,jurisdicao,concessao,data_ref,chave_trecho_hint
101BBA1470,101,BR-101,BA,Eixo Principal,Cruz das Almas,973.0,1074.0,101.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|BA|973
101BBA1471,101,BR-101,BA,Eixo Principal,Cruz das Almas,1074.0,1103.0,29.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|BA|1074
101BBA1472,101,BR-101,BA,Eixo Principal,Cruz das Almas,1103.0,1172.0,69.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|BA|1103
101BBA1490,101,BR-101,BA,Eixo Principal,Cruz das Almas,1172.0,1404.0,232.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|BA|1172
101BBA1510,101,BR-101,BA,Eixo Principal,Cruz das Almas,1404.0,1621.0,217.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|BA|1404
101BBA1530,101,BR-101,BA,Eixo Principal,Cruz das Almas,1621.0,1663.0,42.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|BA|1621
101BBA1540,101,BR-101,BA,Eixo Principal,Cruz das Almas,1663.0,1708.0,45.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|BA|1663
101BBA1550,101,BR-101,BA,Eixo Principal,Cruz das Almas,1708.0,1805.0,97.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|BA|1708
101BBA1570,101,BR-101,BA,Eixo Principal,Cruz das Almas,1805.0,1923.0,118.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|BA|1805
101BBA1572,101,BR-101,BA,Eixo Principal,Cruz das Almas,1923.0,2076.0,153.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-101|BA|1923
